Date,Open,High,Low,Close,Adj Close,Volume
01-06-2010,516.751709,517.59375,497.335754,500.530457,456.750916,8983616
02-06-2010,502.734589,505.706421,496.964264,500.778137,456.976898,9104583
03-06-2010,505.16156,514.126587,505.16156,510.560394,465.903503,7894858
04-06-2010,510.659454,513.135986,506.424591,510.758514,466.084381,6501620
07-06-2010,502.734589,502.734589,495.304993,499.143616,455.485413,6231806
08-06-2010,500.109467,501.595367,492.878021,493.521912,450.355377,7027122
09-06-2010,495.404053,502.734589,495.304993,498.796906,455.168945,7034405
10-06-2010,500.258057,503.94809,498.846436,502.907928,458.920471,6443879
11-06-2010,507.687622,520.491272,505.706421,518.28717,472.954498,10756208
14-06-2010,522.497253,529.976379,519.624451,526.756897,480.68338,7334597
15-06-2010,527.598877,529.926819,520.119812,528.044678,481.858521,8765191
16-06-2010,529.976379,531.28894,522.596313,524.007935,478.174896,5460960
17-06-2010,526.657837,533.443481,524.181274,530.6698,484.254089,9713558
18-06-2010,535.028442,539.783386,520.342651,522.224854,476.547699,17665260
21-06-2010,525.518616,530.818359,525.518616,527.821777,481.655151,5442424
22-06-2010,526.509216,532.353821,523.512634,526.905457,480.818909,5957438
23-06-2010,524.874695,528.738098,522.051453,524.379395,478.513885,5380714
24-06-2010,524.528015,527.896057,518.73291,521.085632,475.508148,8678626
25-06-2010,520.070251,528.985718,516.603149,526.484436,480.434723,9380179
28-06-2010,531.957581,540.873047,527.574097,539.956726,492.728699,14524622
29-06-2010,540.377747,540.377747,527.103577,528.713318,482.468781,6559747
30-06-2010,525.023315,541.838928,523.785034,539.808167,492.59314,12293253
01-07-2010,536.910645,538.074585,528.242798,533.072021,486.446167,6142980
02-07-2010,532.948181,536.885864,527.648438,529.456299,483.146759,5052862
05-07-2010,529.976379,531.53656,526.360657,529.134338,482.852936,2953374
06-07-2010,527.747498,535.870483,527.747498,531.90802,485.384003,4271186
07-07-2010,531.957581,532.353821,520.565552,521.828613,476.186157,6340351
08-07-2010,525.023315,529.753479,522.670593,523.586914,477.79071,5527804
09-07-2010,526.979736,527.995117,521.828613,523.859314,478.039246,5987918
12-07-2010,525.023315,528.960999,521.085632,523.165894,477.406464,5798106
13-07-2010,523.661194,533.814941,523.661194,532.10614,485.564819,6942473
14-07-2010,534.929382,542.086548,528.614258,530.199219,483.824615,7370244
15-07-2010,530.9422,535.375183,529.035278,531.685181,485.180573,6404348
16-07-2010,530.496399,531.957581,525.023315,526.484436,480.434723,4051755
19-07-2010,524.082214,527.945618,521.952393,523.066833,477.316101,4526637
20-07-2010,523.537415,527.945618,519.624451,521.531433,475.915009,3159009
21-07-2010,524.478455,526.509216,522.868713,524.230835,478.378265,4534103
22-07-2010,524.230835,525.444336,518.881531,524.528015,478.649475,7328540
23-07-2010,526.979736,530.422119,523.438354,525.246216,479.304901,6364092
26-07-2010,526.756897,528.688538,520.194092,521.605713,475.982819,4205984
27-07-2010,524.453674,525.592896,520.615112,521.803833,476.163544,5599573
28-07-2010,526.509216,531.784241,504.22049,505.830231,461.587097,24425854
29-07-2010,509.421204,509.421204,499.267456,500.332336,456.570068,21358946
30-07-2010,502.709808,505.38446,498.895966,500.084686,456.344116,8880213
02-08-2010,503.229889,506.102661,500.951477,502.511688,458.558807,5850395
03-08-2010,504.7901,510.609924,502.239258,509.049713,464.524994,9278073
04-08-2010,509.173553,510.659454,501.521088,503.254639,459.236816,8453861
05-08-2010,505.18634,507.043732,497.806305,498.796906,455.168945,8449149
06-08-2010,499.713226,500.307587,494.562042,495.354523,452.027649,9209652
09-08-2010,495.304993,498.276825,491.34256,492.13504,449.089783,10270041
10-08-2010,490.84726,496.493744,488.519318,489.311798,446.513489,9225253
11-08-2010,490.252899,492.778961,485.448425,487.008636,444.411774,10114816
12-08-2010,485.398895,487.008636,480.445862,481.733643,439.598206,11496124
13-08-2010,480.693512,492.2341,480.693512,484.953125,442.536102,14081373
16-08-2010,485.398895,491.29303,482.922363,483.863464,441.541718,6474277
17-08-2010,485.398895,487.850677,480.445862,480.767792,438.716797,6825002
18-08-2010,481.931763,483.912994,474.675537,477.77121,435.9823,11472575
19-08-2010,477.325439,487.825897,477.325439,484.012054,441.677307,9535946
20-08-2010,484.012054,492.03598,481.684113,489.683289,446.852509,9689740
23-08-2010,491.36734,491.36734,483.219574,483.863464,441.541718,6250290
24-08-2010,483.863464,485.894196,479.108521,481.634583,439.507751,8895944
25-08-2010,480.445862,484.333984,478.21698,479.356171,437.42868,8593345
26-08-2010,480.445862,481.931763,473.041046,473.734467,432.298615,12845773
27-08-2010,474.947968,475.938568,468.830963,470.341644,429.202637,11221770
30-08-2010,471.579895,477.87027,468.063232,469.524384,428.456787,5495817
31-08-2010,467.889862,470.514984,453.204071,455.284363,415.46225,21508218
01-09-2010,458.181885,467.468872,456.175903,463.704529,423.145966,12869758
02-09-2010,468.063232,468.880493,463.605469,464.323669,423.710999,8168217
03-09-2010,465.5867,466.379181,457.760895,458.503845,418.400208,6664198
06-09-2010,461.104187,474.353607,456.819794,471.852325,430.581146,15657929
07-09-2010,473.016266,480.297272,472.025665,476.632019,434.94278,13097230
08-09-2010,473.065796,477.82074,471.530365,475.294678,433.722443,5368562
09-09-2010,476.953949,479.05899,473.115326,474.774597,433.247833,4667752
13-09-2010,481.436462,493.076141,478.1427,491.59021,448.59256,12679389
14-09-2010,493.076141,496.790924,487.553467,489.435638,446.626526,8986765
15-09-2010,489.856659,504.5672,489.856659,502.189728,458.265015,15485486
16-09-2010,501.298187,502.907928,493.918152,495.478363,452.140656,8556658
17-09-2010,497.781525,510.857574,497.781525,508.851593,464.344177,14747292
20-09-2010,509.668854,517.073669,505.755951,515.810608,470.69455,14038717
21-09-2010,516.107788,519.327271,507.712402,512.714966,467.869629,9853910
22-09-2010,512.145386,516.949829,502.734589,505.23587,461.044708,11940212
23-09-2010,505.23587,507.192322,493.323792,494.141052,450.920319,10628568
24-09-2010,495.304993,499.762756,491.39209,496.122253,452.728241,10461773
27-09-2010,499.267456,505.16156,497.831055,500.357117,456.592773,7598768
28-09-2010,499.416046,501.248657,491.83786,494.562042,451.304535,9083473
29-09-2010,495.304993,499.762756,492.828491,494.809692,451.530487,8210100
30-09-2010,496.295624,496.295624,484.457825,488.989868,446.219727,13375049
01-10-2010,491.34256,500.258057,490.351959,499.217926,455.553223,8816508
04-10-2010,502.709808,508.083862,502.709808,504.14621,460.050415,9766747
05-10-2010,503.229889,511.055695,499.762756,507.118042,462.762299,10586337
06-10-2010,510.164154,518.584351,508.653473,517.56897,472.299072,12985538
07-10-2010,517.56897,522.918274,511.402405,514.696167,469.677582,14559285
08-10-2010,518.43573,522.447693,510.436584,519.896912,474.423431,9629351
11-10-2010,523.042114,531.09082,521.605713,529.580139,483.259735,11905254
12-10-2010,528.985718,529.679199,518.16333,522.843933,477.112701,6451711
13-10-2010,523.091614,531.957581,522.398193,531.487061,484.999878,11060907
14-10-2010,532.452881,535.672363,522.150513,524.528015,478.649475,11267384
15-10-2010,525.023315,528.985718,512.937866,515.290588,470.220032,5354308
18-10-2010,516.231628,527.475037,511.773895,518.807251,473.429108,10249595
19-10-2010,527.499817,529.332458,514.745728,517.29657,472.050568,8574490
20-10-2010,514.820007,527.202637,514.126587,519.797852,474.333038,8414451
21-10-2010,521.060852,538.817566,519.674011,535.746643,488.886841,17201550
22-10-2010,537.628845,541.764587,532.13092,535.820923,488.954681,9057986
25-10-2010,538.891846,545.776611,537.901245,540.055786,492.819122,8315835
26-10-2010,540.328247,545.30603,538.446045,544.26593,496.661041,7127489
27-10-2010,543.84491,549.788574,536.539124,541.244568,493.90387,10128334
28-10-2010,544.53833,545.28125,532.254761,535.920044,489.045044,16700766
29-10-2010,538.743225,548.401672,535.177063,542.978088,495.485809,13717000
01-11-2010,555.236938,557.168579,539.510986,541.467407,494.107208,14080031
02-11-2010,542.557129,542.557129,530.124939,532.378601,485.813324,9396448
03-11-2010,535.920044,537.356384,526.335876,527.648438,481.496918,9202303
04-11-2010,533.889282,548.302612,532.452881,547.336792,499.463257,11219900
08-11-2010,551.720215,554.246277,545.10791,550.704895,502.536743,10321034
09-11-2010,550.903015,554.989258,543.473389,549.070374,501.045319,7111739
10-11-2010,548.154053,553.206177,544.43927,545.925171,498.17511,5491414
11-11-2010,547.807312,550.680115,532.948181,534.879883,488.095886,5856460
12-11-2010,535.003723,538.594666,523.537415,525.939636,479.937653,8829369
15-11-2010,528.539978,528.936218,514.225647,522.398193,476.705963,7423193
16-11-2010,524.528015,524.528015,508.455353,510.411804,465.767975,9153069
18-11-2010,519.971191,519.971191,502.239258,511.625305,466.875305,10511488
19-11-2010,513.135986,513.135986,488.915558,493.447601,450.287537,11457417
22-11-2010,497.038574,503.452759,493.918152,501.372498,457.519287,8748538
23-11-2010,497.608185,497.781525,482.922363,493.125671,449.993805,15282026
24-11-2010,494.809692,504.121429,488.395508,493.348541,450.197144,9093326
25-11-2010,496.295624,496.790924,481.931763,485.151245,442.716858,13435553
26-11-2010,487.875427,490.550079,474.650787,476.656769,434.965424,14140061
29-11-2010,480.198212,496.518494,476.681549,494.512512,451.259308,10803294
30-11-2010,495.205933,499.614166,485.943726,488.172607,445.473877,14068208
01-12-2010,487.875427,494.017212,486.909576,489.757599,446.920349,8642428
02-12-2010,494.809692,501.966858,492.853241,500.827667,457.022095,11460952
03-12-2010,502.239258,507.192322,494.314392,498.227295,454.64917,9064443
06-12-2010,503.155579,510.164154,501.743958,505.2854,461.089935,8210201
07-12-2010,505.21109,514.968628,505.21109,510.535645,465.880951,10336661
08-12-2010,507.638092,509.049713,500.827667,505.483521,461.270752,7844267
09-12-2010,507.464752,512.071106,484.779785,487.627777,444.976776,14637013
10-12-2010,488.766968,510.164154,485.076965,507.142792,462.784882,12243268
13-12-2010,507.217102,518.08905,500.258057,515.984009,470.852783,7769099
14-12-2010,516.603149,525.023315,516.107788,522.670593,476.954498,9267439
15-12-2010,522.051453,527.004517,513.135986,522.001953,476.34436,9892722
16-12-2010,523.884094,525.023315,515.141968,523.463074,477.677643,7167456
20-12-2010,517.59375,528.985718,517.39563,523.413574,477.632507,7318510
21-12-2010,524.973755,532.40332,524.156494,531.53656,485.044983,7425418
22-12-2010,531.36322,532.452881,519.252991,523.066833,477.316101,6983480
23-12-2010,523.933655,527.351257,520.317932,524.726135,478.830231,6733253
24-12-2010,521.556152,527.252197,520.070251,524.874695,478.96582,4362556
27-12-2010,524.181274,529.381958,520.639832,522.670593,476.954498,2668414
28-12-2010,523.190674,524.874695,516.231628,519.03009,473.632416,4087665
29-12-2010,519.22821,522.546753,518.23761,519.376831,473.948853,5161649
30-12-2010,521.258972,522.918274,518.21283,520.664612,475.124023,6720247
31-12-2010,524.057434,528.242798,521.655212,524.379395,478.513885,4602737
03-01-2011,527.499817,528.242798,521.358032,522.843933,477.112701,4804792
04-01-2011,525.023315,534.879883,523.685974,533.493042,486.830383,10163093
05-01-2011,534.929382,539.882446,529.976379,532.849121,486.242767,11972802
06-01-2011,533.938782,540.575867,532.22998,537.703125,490.672272,10043704
07-01-2011,535.573303,538.768005,524.032715,527.697937,481.542175,8249359
10-01-2011,527.697937,530.199219,505.805481,511.872955,467.101379,8527785
11-01-2011,515.117188,519.426331,494.611572,502.115448,458.197266,9759380
12-01-2011,505.533051,512.962646,496.790924,510.560394,465.903503,10704489
13-01-2011,510.164154,514.696167,500.802887,502.907928,458.920471,11231253
14-01-2011,502.264038,510.065094,494.314392,496.047974,452.660431,8820096
17-01-2011,496.790924,499.267456,491.36734,494.264862,451.033356,6482466
18-01-2011,497.707245,499.267456,490.351959,492.754181,449.654816,6863207
19-01-2011,495.106873,497.781525,482.922363,485.473206,443.010681,10841350
20-01-2011,484.210175,484.210175,472.793396,480.371552,438.355194,19079928
21-01-2011,482.922363,491.59021,481.931763,488.766968,446.016327,9012481
24-01-2011,492.878021,493.274261,477.52356,481.238342,439.14621,10265008
25-01-2011,483.962524,487.850677,473.635406,474.749847,433.225189,9380240
27-01-2011,478.46463,479.158051,465.5867,466.924042,426.083923,12970523
28-01-2011,468.063232,468.509003,446.765106,452.21347,412.660034,15624401
31-01-2011,450.157959,460.064056,447.309937,455.333893,415.507507,11690921
01-02-2011,458.206665,459.494446,440.103271,443.545624,404.750305,17490324
02-02-2011,450.727539,459.593506,449.390228,456.324493,416.411469,13136923
03-02-2011,459.643036,469.301483,453.204071,467.518402,426.626312,7867523
04-02-2011,469.251953,469.251953,452.28775,455.680603,415.823883,9560127
07-02-2011,458.503845,464.99234,452.906891,460.163116,419.914276,6731599
08-02-2011,463.456879,463.456879,451.34668,453.327911,413.676941,9084777
09-02-2011,449.935059,464.19986,447.582367,452.857361,413.247589,17642226
10-02-2011,451.96582,456.076843,438.39447,445.601135,406.626038,13082506
11-02-2011,445.749725,453.204071,439.855621,450.702789,411.281494,9235695
14-02-2011,448.795868,454.813812,442.852203,453.105011,413.473633,13912350
15-02-2011,452.906891,467.964172,451.37146,466.428711,425.631927,12583448
16-02-2011,464.74469,470.936005,464.64563,467.642212,426.739227,5095674
17-02-2011,469.474854,473.239166,463.729309,472.496216,431.168671,6503194
18-02-2011,473.536346,476.978729,461.624268,463.382599,422.852234,7267671
21-02-2011,463.654999,475.938568,462.713928,473.684937,432.253448,11828176
22-02-2011,491.34256,499.960876,485.027435,487.801147,445.134949,41037923
23-02-2011,488.568848,496.444214,487.875427,493.150421,450.016388,14391641
24-02-2011,493.323792,494.611572,474.675537,477.57309,435.801514,15185029
